Unnamed: 0,name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,sst
7951,Allison,2001,6,5,12,27.5,-95.0,tropical storm,,40,1007,,,
7952,Allison,2001,6,5,18,28.5,-95.3,tropical storm,,50,1002,,,
7953,Allison,2001,6,5,21,28.9,-95.3,tropical storm,,45,1003,,,
7954,Allison,2001,6,6,0,29.3,-95.3,tropical storm,,45,1003,,,
7955,Allison,2001,6,6,6,30.1,-95.2,tropical depression,,30,1006,,,
7956,Allison,2001,6,6,12,31.0,-95.2,tropical depression,,20,1005,,,
7957,Allison,2001,6,6,18,31.5,-95.0,tropical depression,,20,1005,,,
7958,Allison,2001,6,7,0,31.6,-95.0,tropical depression,,20,1005,,,
7959,Allison,2001,6,7,6,31.8,-94.9,tropical depression,,20,1006,,,
7960,Allison,2001,6,7,12,31.4,-94.9,tropical depression,,20,1006,,,
7961,Allison,2001,6,7,18,31.1,-95.0,tropical depression,,15,1007,,,
7962,Allison,2001,6,8,0,30.9,-95.6,tropical depression,,15,1002,,,
7963,Allison,2001,6,8,6,30.7,-96.1,tropical depression,,20,1004,,,
7964,Allison,2001,6,8,12,30.4,-96.2,tropical depression,,20,1007,,,
7965,Allison,2001,6,8,18,30.2,-96.1,tropical depression,,20,1007,,,
7966,Allison,2001,6,9,0,29.9,-95.9,tropical depression,,20,1007,,,
7967,Allison,2001,6,9,6,29.6,-95.8,tropical depression,,20,1007,,,
7968,Allison,2001,6,9,12,29.3,-95.8,tropical depression,,20,1007,,,
7969,Allison,2001,6,9,18,28.9,-95.6,tropical depression,,20,1008,,,
7970,Allison,2001,6,10,0,28.6,-95.2,subtropical depression,,20,1008,,,
7971,Allison,2001,6,10,6,28.6,-94.7,subtropical depression,,25,1007,,,
7972,Allison,2001,6,10,12,28.7,-94.3,subtropical depression,,25,1006,,,
7973,Allison,2001,6,10,18,28.8,-93.5,subtropical depression,,30,1006,,,
7974,Allison,2001,6,11,0,29.1,-92.3,subtropical depression,,30,1005,,,
7975,Allison,2001,6,11,2,29.6,-91.6,subtropical depression,,30,1004,,,
7976,Allison,2001,6,11,6,30.0,-90.5,subtropical storm,,35,1003,,,
7977,Allison,2001,6,11,12,30.7,-89.4,subtropical storm,,40,1000,,,
7978,Allison,2001,6,11,18,31.0,-88.4,subtropical storm,,35,1002,,,
7979,Allison,2001,6,12,0,31.3,-87.4,subtropical depression,,25,1004,,,
7980,Allison,2001,6,12,6,31.8,-86.1,subtropical depression,,20,1005,,,
7981,Allison,2001,6,12,12,32.4,-84.7,subtropical depression,,20,1006,,,
7982,Allison,2001,6,12,18,32.8,-83.6,subtropical depression,,20,1006,,,
7983,Allison,2001,6,13,0,33.1,-82.6,subtropical depression,,20,1006,,,
7984,Allison,2001,6,13,6,33.4,-81.6,subtropical depression,,25,1004,,,
7985,Allison,2001,6,13,12,33.7,-80.7,subtropical depression,,25,1005,,,
7986,Allison,2001,6,13,18,34.0,-79.6,subtropical depression,,25,1006,,,
7987,Allison,2001,6,14,0,34.3,-78.5,subtropical depression,,25,1006,,,
7988,Allison,2001,6,14,6,34.6,-77.9,subtropical depression,,25,1006,,,
7989,Allison,2001,6,14,12,34.7,-77.7,subtropical depression,,25,1007,,,
7990,Allison,2001,6,14,18,34.6,-77.6,subtropical depression,,25,1008,,,
7991,Allison,2001,6,15,0,34.6,-77.2,subtropical depression,,25,1008,,,
7992,Allison,2001,6,15,6,34.9,-77.0,subtropical depression,,25,1008,,,
7993,Allison,2001,6,15,12,35.5,-76.9,subtropical depression,,25,1008,,,
7994,Allison,2001,6,15,18,35.9,-76.8,subtropical depression,,25,1009,,,
7995,Allison,2001,6,16,0,36.3,-76.6,subtropical depression,,25,1007,,,21.09
7996,Allison,2001,6,16,6,36.6,-76.2,subtropical depression,,25,1007,,,21.03
7997,Allison,2001,6,16,12,36.8,-75.9,subtropical depression,,25,1007,,,21.07
7998,Allison,2001,6,16,18,37.2,-75.5,subtropical depression,,25,1006,,,21.14
7999,Allison,2001,6,17,0,37.8,-75.4,subtropical depression,,25,1006,,,21.9
8000,Allison,2001,6,17,6,38.6,-74.5,subtropical depression,,30,1005,,,21.34
8001,Allison,2001,6,17,12,39.3,-73.4,subtropical storm,,40,1004,,,21.56
8002,Allison,2001,6,17,18,40.0,-72.1,subtropical storm,,35,1005,,,22.5
8003,Allison,2001,6,18,0,40.6,-70.8,extratropical,,30,1006,,,
8004,Allison,2001,6,18,6,41.3,-69.4,extratropical,,30,1008,,,
8005,Allison,2001,6,18,12,42.0,-67.4,extratropical,,30,1009,,,
8006,Allison,2001,6,18,18,42.7,-64.6,extratropical,,25,1011,,,
8007,Allison,2001,6,19,0,43.5,-61.0,extratropical,,20,1012,,,
8008,AL022001,2001,7,11,18,10.9,-42.1,tropical depression,,25,1011,,,
8009,AL022001,2001,7,12,0,11.4,-43.8,tropical depression,,25,1010,,,
8010,AL022001,2001,7,12,6,11.8,-45.3,tropical depression,,25,1011,,,
8011,AL022001,2001,7,12,12,12.5,-46.9,tropical depression,,25,1011,,,
8012,AL022001,2001,7,12,18,13.1,-48.5,tropical depression,,25,1012,,,
8013,Barry,2001,8,2,12,25.7,-84.8,tropical depression,,30,1011,,,
8014,Barry,2001,8,2,18,26.2,-84.9,tropical storm,,45,1010,,,
8015,Barry,2001,8,3,0,26.4,-85.6,tropical storm,,40,1007,,,
8016,Barry,2001,8,3,6,26.6,-86.3,tropical storm,,35,1008,,,
8017,Barry,2001,8,3,12,26.9,-87.0,tropical storm,,35,1007,,,
8018,Barry,2001,8,3,18,26.8,-87.2,tropical storm,,35,1007,,,
8019,Barry,2001,8,4,0,26.7,-87.5,tropical depression,,30,1005,,,
8020,Barry,2001,8,4,6,26.6,-87.8,tropical depression,,30,1005,,,
8021,Barry,2001,8,4,12,26.9,-87.7,tropical depression,,30,1006,,,
8022,Barry,2001,8,4,18,27.1,-87.5,tropical storm,,35,1005,,,
8023,Barry,2001,8,5,0,27.3,-87.3,tropical storm,,35,1003,,,
8024,Barry,2001,8,5,6,27.5,-86.7,tropical storm,,40,1004,,,
8025,Barry,2001,8,5,12,28.1,-86.4,tropical storm,,50,990,,,
8026,Barry,2001,8,5,18,28.6,-86.4,tropical storm,,60,991,,,
8027,Barry,2001,8,6,0,29.5,-86.3,tropical storm,,60,992,,,
8028,Barry,2001,8,6,5,30.4,-86.3,tropical storm,,60,990,,,
8029,Barry,2001,8,6,6,30.6,-86.4,tropical storm,,60,991,,,
8030,Barry,2001,8,6,12,31.8,-86.9,tropical depression,,25,1007,,,
8031,Barry,2001,8,6,18,32.7,-87.7,tropical depression,,20,1009,,,
8032,Barry,2001,8,7,0,33.3,-88.5,tropical depression,,15,1012,,,
8033,Barry,2001,8,7,6,34.0,-89.1,other low,,15,1015,,,
8034,Barry,2001,8,7,12,34.7,-89.7,other low,,10,1017,,,
8035,Barry,2001,8,7,18,35.6,-89.8,other low,,10,1018,,,
8036,Barry,2001,8,8,0,36.6,-89.9,other low,,10,1016,,,25.28
8037,Barry,2001,8,8,6,37.5,-90.0,other low,,10,1017,,,25.84
8038,Chantal,2001,8,14,18,12.8,-37.0,tropical depression,,25,1010,,,
8039,Chantal,2001,8,15,0,12.9,-39.3,tropical depression,,25,1010,,,
8040,Chantal,2001,8,15,6,12.6,-41.6,tropical depression,,25,1010,,,
8041,Chantal,2001,8,15,12,12.3,-43.9,tropical depression,,30,1010,,,
8042,Chantal,2001,8,15,18,12.3,-46.3,tropical depression,,30,1010,,,
8043,Chantal,2001,8,16,0,12.4,-48.8,tropical depression,,30,1010,,,
8044,Chantal,2001,8,16,6,12.4,-51.3,tropical depression,,30,1011,,,
8045,Chantal,2001,8,16,12,12.7,-53.9,tropical wave,,30,1012,,,
8046,Chantal,2001,8,16,18,12.7,-57.2,tropical wave,,30,1012,,,
8047,Chantal,2001,8,17,0,13.1,-60.6,tropical wave,,35,1011,,,
8048,Chantal,2001,8,17,6,13.3,-62.8,tropical wave,,35,1011,,,
8049,Chantal,2001,8,17,12,13.7,-64.6,tropical storm,,35,1010,,,
8050,Chantal,2001,8,17,18,14.2,-66.4,tropical storm,,35,1006,,,
8051,Chantal,2001,8,18,0,14.4,-68.2,tropical storm,,45,1004,,,
8052,Chantal,2001,8,18,6,14.6,-70.4,tropical storm,,55,1003,,,
8053,Chantal,2001,8,18,12,14.8,-72.9,tropical storm,,50,1006,,,
8054,Chantal,2001,8,18,18,15.3,-75.2,tropical storm,,50,1003,,,
8055,Chantal,2001,8,19,0,15.3,-77.2,tropical storm,,55,1002,,,
8056,Chantal,2001,8,19,6,15.4,-78.4,tropical storm,,60,997,,,
8057,Chantal,2001,8,19,12,15.7,-79.6,tropical storm,,60,1004,,,
8058,Chantal,2001,8,19,18,16.2,-81.1,tropical storm,,55,1005,,,
8059,Chantal,2001,8,20,0,16.7,-82.6,tropical storm,,50,1007,,,
8060,Chantal,2001,8,20,6,17.1,-84.1,tropical storm,,50,1008,,,
8061,Chantal,2001,8,20,12,17.5,-85.6,tropical storm,,50,1007,,,
8062,Chantal,2001,8,20,18,17.9,-86.7,tropical storm,,55,1006,,,
8063,Chantal,2001,8,21,0,18.1,-87.7,tropical storm,,60,1000,,,
8064,Chantal,2001,8,21,2,18.1,-87.8,tropical storm,,60,999,,,
8065,Chantal,2001,8,21,6,18.2,-88.1,tropical storm,,55,1000,,,
8066,Chantal,2001,8,21,12,18.4,-88.7,tropical storm,,45,1002,,,
8067,Chantal,2001,8,21,18,18.6,-89.5,tropical storm,,35,1006,,,
8068,Chantal,2001,8,22,0,18.7,-90.3,tropical depression,,25,1007,,,
8069,Chantal,2001,8,22,6,18.4,-91.2,tropical depression,,25,1008,,,
8070,Chantal,2001,8,22,12,17.9,-92.2,tropical depression,,25,1009,,,
8071,Dean,2001,8,22,12,17.9,-64.3,tropical storm,,45,1010,,,
8072,Dean,2001,8,22,18,19.1,-65.9,tropical storm,,50,1009,,,
8073,Dean,2001,8,23,0,19.8,-67.4,tropical storm,,50,1010,,,
8074,Dean,2001,8,23,6,20.7,-68.9,tropical storm,,50,1010,,,
8075,Dean,2001,8,23,12,21.6,-69.8,tropical depression,,30,1012,,,
8076,Dean,2001,8,23,18,23.0,-70.2,tropical wave,,25,1012,,,
8077,Dean,2001,8,24,0,24.6,-70.8,other low,,25,1013,,,
8078,Dean,2001,8,24,6,26.6,-70.7,other low,,25,1013,,,
8079,Dean,2001,8,24,12,28.6,-70.7,other low,,25,1012,,,
8080,Dean,2001,8,24,18,30.3,-70.2,other low,,25,1012,,,
8081,Dean,2001,8,25,0,31.5,-69.4,other low,,25,1011,,,
8082,Dean,2001,8,25,6,32.7,-67.9,other low,,25,1011,,,
8083,Dean,2001,8,25,12,34.0,-66.5,other low,,25,1010,,,
8084,Dean,2001,8,25,18,35.0,-66.0,other low,,25,1008,,,
8085,Dean,2001,8,26,0,35.0,-66.0,other low,,25,1008,,,
8086,Dean,2001,8,26,6,35.0,-66.0,other low,,25,1008,,,
8087,Dean,2001,8,26,12,35.2,-65.5,other low,,25,1008,,,
8088,Dean,2001,8,26,18,35.5,-65.0,tropical depression,,30,1004,,,
8089,Dean,2001,8,27,0,36.3,-63.3,tropical storm,,40,1001,,,25.35
8090,Dean,2001,8,27,6,37.7,-62.0,tropical storm,,50,1000,,,26.05
8091,Dean,2001,8,27,12,38.9,-60.7,tropical storm,,55,996,,,26.68
8092,Dean,2001,8,27,18,40.6,-59.4,tropical storm,,60,994,,,
8093,Dean,2001,8,28,0,42.1,-57.5,tropical storm,,60,995,,,
8094,Dean,2001,8,28,6,43.5,-56.0,tropical storm,,55,996,,,
8095,Dean,2001,8,28,12,44.0,-53.4,tropical storm,,50,997,,,
8096,Dean,2001,8,28,18,45.5,-50.5,extratropical,,45,998,,,
8097,Dean,2001,8,29,0,47.0,-48.5,extratropical,,45,999,,,
8098,Dean,2001,8,29,6,49.0,-45.0,extratropical,,45,999,,,
