Unnamed: 0,name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,sst
4064,Ana,1991,6,29,12,25.9,-78.0,other low,,20,1012,,,
4065,Ana,1991,6,29,18,25.9,-79.0,other low,,20,1012,,,
4066,Ana,1991,6,30,0,25.9,-80.0,other low,,20,1012,,,
4067,Ana,1991,6,30,6,26.0,-80.9,other low,,20,1012,,,
4068,Ana,1991,6,30,12,26.2,-81.8,other low,,20,1012,,,
4069,Ana,1991,6,30,18,26.7,-82.4,other low,,20,1012,,,
4070,Ana,1991,7,1,0,27.3,-82.7,other low,,20,1012,,,
4071,Ana,1991,7,1,6,28.0,-82.7,other low,,20,1012,,,
4072,Ana,1991,7,1,12,28.7,-82.5,other low,,20,1012,,,
4073,Ana,1991,7,1,18,29.3,-82.2,other low,,20,1012,,,
4074,Ana,1991,7,2,0,29.9,-81.6,other low,,20,1012,,,
4075,Ana,1991,7,2,6,30.4,-81.0,other low,,20,1012,,,
4076,Ana,1991,7,2,12,30.9,-80.3,other low,,20,1012,,,
4077,Ana,1991,7,2,18,31.3,-79.7,tropical depression,,25,1012,,,
4078,Ana,1991,7,3,0,31.5,-79.0,tropical depression,,25,1011,,,
4079,Ana,1991,7,3,6,32.5,-77.4,tropical depression,,25,1010,,,
4080,Ana,1991,7,3,12,33.9,-75.4,tropical depression,,30,1008,,,
4081,Ana,1991,7,3,18,35.2,-73.4,tropical depression,,30,1006,,,
4082,Ana,1991,7,4,0,36.2,-70.7,tropical storm,,40,1003,,,19.23
4083,Ana,1991,7,4,6,37.1,-67.8,tropical storm,,45,1002,,,20.68
4084,Ana,1991,7,4,12,37.6,-64.7,tropical storm,,45,1001,,,21.15
4085,Ana,1991,7,4,18,37.9,-61.1,tropical storm,,45,1000,,,21.26
4086,Ana,1991,7,5,0,38.0,-57.5,tropical storm,,45,1001,,,20.96
4087,Ana,1991,7,5,6,37.5,-54.2,tropical storm,,40,1003,,,20.42
4088,Ana,1991,7,5,12,37.0,-50.7,tropical storm,,35,1005,,,19.92
4089,Bob,1991,8,16,0,25.6,-74.3,tropical depression,,25,1014,,,
4090,Bob,1991,8,16,6,25.7,-74.9,tropical depression,,25,1012,,,
4091,Bob,1991,8,16,12,25.9,-75.4,tropical depression,,30,1010,,,
4092,Bob,1991,8,16,18,26.4,-75.8,tropical storm,,35,1005,,,
4093,Bob,1991,8,17,0,27.1,-76.2,tropical storm,,40,1003,,,
4094,Bob,1991,8,17,6,27.8,-76.5,tropical storm,,45,998,,,
4095,Bob,1991,8,17,12,28.4,-76.9,tropical storm,,55,996,,,
4096,Bob,1991,8,17,18,29.0,-77.1,hurricane,1.0,65,986,,,
4097,Bob,1991,8,18,0,29.7,-77.0,hurricane,1.0,70,980,,,
4098,Bob,1991,8,18,6,30.5,-76.9,hurricane,1.0,75,979,,,
4099,Bob,1991,8,18,12,31.5,-76.6,hurricane,1.0,80,974,,,
4100,Bob,1991,8,18,18,33.0,-76.1,hurricane,2.0,85,965,,,
4101,Bob,1991,8,19,0,34.6,-75.3,hurricane,2.0,95,957,,,
4102,Bob,1991,8,19,6,36.5,-74.5,hurricane,3.0,100,950,,,24.92
4103,Bob,1991,8,19,12,38.9,-73.0,hurricane,2.0,95,953,,,25.36
4104,Bob,1991,8,19,17,41.2,-71.6,hurricane,2.0,90,962,,,
4105,Bob,1991,8,19,18,41.4,-71.4,hurricane,2.0,85,964,,,
4106,Bob,1991,8,20,0,43.8,-69.6,tropical storm,,60,977,,,
4107,Bob,1991,8,20,1,44.1,-69.1,tropical storm,,60,981,,,
4108,Bob,1991,8,20,6,45.6,-67.6,tropical storm,,50,987,,,
4109,Bob,1991,8,20,12,47.0,-65.5,tropical storm,,45,998,,,
4110,Bob,1991,8,20,18,48.4,-61.9,extratropical,,40,1003,,,
4111,Bob,1991,8,21,0,49.8,-58.3,extratropical,,40,1008,,,16.78
4112,Bob,1991,8,21,6,50.9,-54.9,extratropical,,40,1008,,,
4113,Bob,1991,8,21,12,51.6,-51.4,extratropical,,35,1009,,,
4114,Bob,1991,8,21,18,51.9,-47.3,extratropical,,30,1009,,,
4115,Bob,1991,8,22,0,51.9,-42.8,extratropical,,30,1004,,,
4116,Bob,1991,8,22,6,51.5,-38.3,extratropical,,35,1002,,,
4117,Bob,1991,8,22,12,50.7,-34.1,extratropical,,40,994,,,16.41
