Unnamed: 0,name,year,month,day,hour,lat,long,status,category,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,sst
1268,Arlene,1981,5,6,18,18.4,-83.6,tropical depression,,30,1006,,,
1269,Arlene,1981,5,7,0,18.4,-82.7,tropical depression,,30,1006,,,
1270,Arlene,1981,5,7,6,18.6,-81.7,tropical depression,,30,1005,,,
1271,Arlene,1981,5,7,12,19.0,-80.6,tropical storm,,35,1003,,,
1272,Arlene,1981,5,7,18,19.6,-79.7,tropical storm,,40,1000,,,
1273,Arlene,1981,5,8,0,20.3,-78.7,tropical storm,,45,999,,,
1274,Arlene,1981,5,8,6,21.1,-77.4,tropical depression,,30,1003,,,
1275,Arlene,1981,5,8,12,22.4,-76.4,tropical depression,,30,1006,,,
1276,Arlene,1981,5,8,18,23.0,-74.5,tropical storm,,50,1004,,,
1277,Arlene,1981,5,9,0,23.4,-72.8,tropical depression,,30,1006,,,
1278,Arlene,1981,5,9,6,24.0,-71.0,tropical depression,,25,1010,,,
1279,Bret,1981,6,29,12,36.0,-65.0,subtropical storm,,35,1012,,,
1280,Bret,1981,6,29,18,36.0,-67.0,subtropical storm,,45,1007,,,
1281,Bret,1981,6,30,0,36.0,-69.0,subtropical storm,,55,1003,,,
1282,Bret,1981,6,30,6,36.0,-71.0,tropical storm,,60,999,,,
1283,Bret,1981,6,30,12,36.0,-72.5,tropical storm,,60,996,,,
1284,Bret,1981,6,30,18,36.2,-73.8,tropical storm,,60,996,,,24.27
1285,Bret,1981,7,1,0,36.6,-74.7,tropical storm,,50,1000,,,24.77
1286,Bret,1981,7,1,6,37.4,-76.0,tropical depression,,30,1006,,,25.17
1287,Cindy,1981,8,2,18,36.1,-67.8,subtropical depression,,30,1010,,,24.27
1288,Cindy,1981,8,3,0,36.7,-67.1,subtropical depression,,30,1008,,,24.77
1289,Cindy,1981,8,3,6,37.4,-66.2,subtropical depression,,30,1006,,,25.17
1290,Cindy,1981,8,3,12,38.3,-65.7,tropical depression,,30,1003,,,24.73
1291,Cindy,1981,8,3,18,38.7,-64.9,tropical storm,,40,1003,,,24.41
1292,Cindy,1981,8,4,0,39.0,-63.8,tropical storm,,50,1002,,,24.26
1293,Cindy,1981,8,4,6,39.4,-62.2,tropical storm,,50,1002,,,24.67
1294,Cindy,1981,8,4,12,40.4,-60.7,tropical storm,,50,1003,,,
1295,Cindy,1981,8,4,18,41.3,-58.4,tropical storm,,50,1004,,,
1296,Cindy,1981,8,5,0,42.2,-55.7,tropical storm,,45,1005,,,
1297,Cindy,1981,8,5,6,43.3,-52.7,tropical storm,,40,1006,,,
1298,Cindy,1981,8,5,12,44.1,-50.4,extratropical,,30,1008,,,
1299,Dennis,1981,8,7,6,10.5,-25.7,tropical depression,,30,1009,,,
1300,Dennis,1981,8,7,12,10.8,-28.1,tropical depression,,30,1008,,,
1301,Dennis,1981,8,7,18,11.0,-29.6,tropical depression,,30,1007,,,
1302,Dennis,1981,8,8,0,11.3,-31.3,tropical storm,,35,1006,,,
1303,Dennis,1981,8,8,6,11.7,-33.1,tropical storm,,35,1005,,,
1304,Dennis,1981,8,8,12,12.0,-35.0,tropical storm,,35,1004,,,
1305,Dennis,1981,8,8,18,12.5,-36.7,tropical storm,,40,1003,,,
1306,Dennis,1981,8,9,0,12.8,-38.7,tropical storm,,40,1002,,,
1307,Dennis,1981,8,9,6,13.1,-40.8,tropical storm,,40,1001,,,
1308,Dennis,1981,8,9,12,13.3,-43.0,tropical storm,,40,1001,,,
1309,Dennis,1981,8,9,18,13.5,-45.0,tropical storm,,40,1001,,,
1310,Dennis,1981,8,10,0,13.5,-47.0,tropical storm,,40,1001,,,
1311,Dennis,1981,8,10,6,13.5,-49.0,tropical storm,,40,1002,,,
1312,Dennis,1981,8,10,12,13.5,-51.0,tropical storm,,40,1004,,,
1313,Dennis,1981,8,10,18,13.6,-52.9,tropical storm,,35,1006,,,
1314,Dennis,1981,8,11,0,13.8,-54.9,tropical depression,,30,1007,,,
1315,Dennis,1981,8,11,6,14.0,-56.5,tropical depression,,30,1008,,,
1316,Dennis,1981,8,11,12,14.3,-58.3,tropical depression,,30,1009,,,
1317,Dennis,1981,8,11,18,14.6,-60.1,tropical depression,,30,1010,,,
1318,Dennis,1981,8,12,0,14.9,-61.9,tropical depression,,25,1010,,,
1319,Dennis,1981,8,12,6,15.2,-63.8,tropical depression,,25,1011,,,
1320,Dennis,1981,8,12,12,15.4,-65.7,tropical depression,,25,1011,,,
1321,Dennis,1981,8,12,18,15.6,-67.6,tropical depression,,25,1011,,,
1322,Dennis,1981,8,15,18,21.7,-80.8,tropical depression,,30,1007,,,
